,id,date,topic_id,topic_prob,year,url,article,top_terms,MainTopic,rep_docs,HumanJudgement,Accuracy,,
0,2608646,8/2/2021,9,0.019662,2021,https://timesofindia.indiatimes.com/city/hyderabad/govt-to-aid-kids-orphaned-in-pandemic/articleshow/84957878.cms,"HYDERABAD: There is some ray of hope for children orphaned in the Covid-19 pandemic. The state government has now decided to come out with an action plan to support all such children who lost their parents to the novel coronavirus. Chief minister K Chandrasekhar Rao-led state cabinet meeting on Sunday constituted a cabinet sub-committee to collect details and assess problems being faced by such orphans as well as orphanages in Telangana. Women and child welfare minister Satyavathi Rathod will head the cabinet sub-committee comprising 10 other ministers including T Harish Rao, KT Rama Rao, Sabitha Indra Reddy, V Srinivas Goud, Talasani Srinivas Yadav, Koppula Eshwar, Gangula Kamalakar, Indrakaran Reddy, G Jagadish Reddy and Errabelli Dayakar Rao. The cabinet directed the medical and health secretary to get comprehensive information on affected children. All collectors have been told to submit details of orphans and orphanages from their respective districts to the medical and health secretary. The cabinet, which also discussed the Covid situation in Telangana and other states, decided to focus on districts with higher cases. The cabinet directed officials to increase the number of tests to identify coronavirus patients, intensify vaccination drive, improve medical infrastructure, medicine supplies and ensure there was no shortage of oxygen facilities in hospitals in all the districts. It was also decided to ensure that the seven new medical colleges sanctioned would start functioning from the ensuing academic year. Officials were told to take up steps for construction of hospital, hostel and college buildings, labs, beds and other essential facilities to be put in place. Also, officials were told to identify land for new medical colleges that are expected to be sanctioned in future. The medical and health department officials have been told to prepare an action plan and submit it to the chief minister at the earliest. The chief minister said there is a possibility of orphaned children being deserted and subjected to social discrimination resulting in psychological problems. “Until they grow up and are able to financially sustain themselves, the government will support them,” KCR said. In the past, the orphans were given BC status and steps were taken for their safety. The government offices which are lying empty and are suitable, would be transformed into rehabilitation homes for the orphans. The committee will make field visits as part of its state-wide tour and prepare comprehensive guidelines for the development of orphans. State planning board vice-chairman B Vinod Kumar would be special invitee to the committee meetings. ","['court', 'justice', 'bench', 'judge', 'high', 'petition', 'supreme', 'advocate', 'order', 'filed']",Judiciery,madras high court transferred hearing criminal contempt suo motu initiated single judge officer senthamarai kannan allegedly filing bogus expert opinion division case civil matter decided judge pass order said violated judge alone better position appreciate fact criminal contempt proceeding dealt division division bench justice kirubakaran velmurugan court passed order allowing appeal moved member secretary tamil nadu uniformed service recruitment board court directed registry forward case file acting chief justice posting matter appropriate issue pertains plea moved challenging correctness question asked written exam recruitment post,Healthcare,No,Correct,10
1,416760,8/21/2009,9,0.722703,2009,https://timesofindia.indiatimes.com/city/delhi/hc-reserves-order-on-development-charges-at-igi/articleshow/4916695.cms,"NEW DELHI: The Delhi High Court on Thursday reserved its order on a PIL challenging the collection of airport development fee (ADF) from passengers departing from the Indira Gandhi International Airport. A division bench of Chief Justice Ajit Prakash Shah and Justice Manmohan reserved their order for August 25 after hearing the arguments from the Airports Authority of India, Delhi International Authority Limited (DIAL) and Mumbai International Airport Limited (MIAL). DIAL counsel Abhishek Manu Singhvi submitted before the bench: ""The fee is an inter-generational fee and is being charged from passengers keeping in mind the future prospects.'' On Wednesday, Solicitor General Gopal Subrahmaniam, appearing for the government, submitted that ""development of airports is a private initiative and therefore, charging fees is not wrong and well within the law.'' ""The airport is to develop the area surrounding it and the existing Airport Authority Act allows various airports to charge the ADF,'' he added. Appearing for MIAL, senior counsel Harish Salve argued: ""When we can charge the airline companies for using landing, housing and parking facilities, then why can't we charge the passengers for using the other services at the airport?'' The public interest petition has challenged the ADF of Rs 200 cess on all outgoing domestic passengers and Rs 1,300 on international ones since March 1, 2009. Apart from alleging that the money being charged for airport development work was ""placing undue burden on travelling public'', the petition also argues that in return for the payment, the passenger is not being offered any extra facility or value by DIAL. ","['court', 'justice', 'bench', 'judge', 'high', 'petition', 'supreme', 'advocate', 'order', 'filed']",Judiciery,madras high court transferred hearing criminal contempt suo motu initiated single judge officer senthamarai kannan allegedly filing bogus expert opinion division case civil matter decided judge pass order said violated judge alone better position appreciate fact criminal contempt proceeding dealt division division bench justice kirubakaran velmurugan court passed order allowing appeal moved member secretary tamil nadu uniformed service recruitment board court directed registry forward case file acting chief justice posting matter appropriate issue pertains plea moved challenging correctness question asked written exam recruitment post,Judiciery,Yes,Incorrect,10
2,728016,9/3/2011,9,0.11449,2011,https://timesofindia.indiatimes.com/city/nagpur/amravati-cp-suspends-four-constables/articleshow/9842691.cms," AMRAVATI: Commissioner of police Amitesh Kumar suspended four constables -Shravan Tawalare, Ashok Mahalle, Prabhakar Gudadhe and Nitesh Wankhede for dereliction of duty on Friday. The four were suspended as an accused - Sanket Thavkar - fled from the custody in Rajapeth police station on Friday morning. Sanket was arrested for committing robbery. Sources said that all the four cops were on duty till 7am. But, Ashok, Prabhakar and Nitesh left early - at around 5am - leaving Shravan to guard the lock up alone. After the trio left, Shravan opened the lock up to clean it and asked Sanket to fetch water. Taking advantage of this Sanket fled from the lock up. Police imposed nakabandi in area but failed to catch Sanket. Irked by the lackadaisical attitude of the constables, the commissioner of police Amitesh Kumar suspended all the four constables. Sanket, along with another accused Ankush Raghve was to be produced before the court on Friday.","['court', 'justice', 'bench', 'judge', 'high', 'petition', 'supreme', 'advocate', 'order', 'filed']",Judiciery,madras high court transferred hearing criminal contempt suo motu initiated single judge officer senthamarai kannan allegedly filing bogus expert opinion division case civil matter decided judge pass order said violated judge alone better position appreciate fact criminal contempt proceeding dealt division division bench justice kirubakaran velmurugan court passed order allowing appeal moved member secretary tamil nadu uniformed service recruitment board court directed registry forward case file acting chief justice posting matter appropriate issue pertains plea moved challenging correctness question asked written exam recruitment post,Corruption,No,,
3,1886415,8/19/2017,9,0.045222,2017,https://timesofindia.indiatimes.com/city/noida/another-fake-call-centre-busted/articleshow/60126619.cms,"NOIDA: The special task force of Noida police (Noida-STF) on Friday busted another fake call centre in the city and arrested 17 people, including four masterminds, from its office in Sector 27. The gang used to make calls to people promising huge returns on life insurance policies, after stealing data from some vendors. Triveni Singh, additional SP (Noida-STF), said the arrests were linked to another fake call centre that was busted on Thursday. Some 43 people, including nine masterminds, were also arrested from its two offices in Sector 11 and Sector 62, respectively. Singh said Col Ramman Singh (retired), a resident of Fatehpur, had got an FIR registered at a local police station on March 27 this year, alleging a fraud of Rs 86.77 lakh against a promise of high returns on a life insurance policy. In his police complaint, the victim said he had received a call from some people who demanded money to initiate the process of higher returns on his policy. Over time, he realised that he had been duped of a huge sum of money. “We had busted the first call centre based on Singh’s complaint after putting the telecallers’ numbers on electronic surveillance. But money trail revealed that the amount was also transferred to the accounts of three other firms — FNF Solutions, Biolo Services and AK Services. We then identified the location of three firms in a rented office in Sector 17 and thus busted the second fake call centre on Friday,” the additional SP said. The masterminds have been identified as Prakash Kumar (25) and Yogesh Kumar (26), both residents of Nithari village, Mohit Kumar (26) of Bulandshar, and Arpit (24) of Challera village. “We have also recovered six mobile phones, fake documents of three companies and pass books of five bank accounts,” Singh said. Police said investigation has revealed that account holders, telecallers and brokers used to share dividends of 15%, 60% and 25% after duping investors. “We have also identified two data vendors and soon a raid will be conducted on them,” Singh said. The STF team has registered a case against the accused under sections 467, 468 and 420 of IPC. The accused were produced in a court and sent to judicial custody. ","['court', 'justice', 'bench', 'judge', 'high', 'petition', 'supreme', 'advocate', 'order', 'filed']",Judiciery,madras high court transferred hearing criminal contempt suo motu initiated single judge officer senthamarai kannan allegedly filing bogus expert opinion division case civil matter decided judge pass order said violated judge alone better position appreciate fact criminal contempt proceeding dealt division division bench justice kirubakaran velmurugan court passed order allowing appeal moved member secretary tamil nadu uniformed service recruitment board court directed registry forward case file acting chief justice posting matter appropriate issue pertains plea moved challenging correctness question asked written exam recruitment post,Crime,No,Accuracy,50%
4,1373396,10/27/2014,50,0.993627,2014,https://timesofindia.indiatimes.com/city/lucknow/shubhangi-pandey-enjoys-at-diwali-disco-dandiya-night-at-la-martiniere-girls-college-in-lucknow/articleshow/44940467.cms,"The past and present students of La Martiniere Girls’ College had loads of fun partying in their school at the Diwali disco dandiya night organised by the alumni association. Girls dressed in trendy ensembles with mix of traditional and Western touch, danced on the beats of Bollywood tracks churned out by DJ Moni. “This time we have more crowd and unlike previous years there is no dress code for this Diwali party,” said Safia Khan, a member of the alumni association.  Sukriti Kohli, an alumnus was judged the Best Dancer while Shanvi Srivastava won the prize for the best Dandiya Costume. The party concluded with a dazzling display of fireworks. ","['idol', 'puja', 'durga', 'festival', 'ganesh', 'celebration', 'procession', 'immersion', 'goddess', 'lord']",Religion,amid support balochistan global nationalist sentiment emerged one theme durga puja celebration puja organized sangram club kutchery depicts goddess durga kid rajasthani move around hind side hit upon border india surrounded barbed wire guntoting bsf pakistani pakistani province citizen demanding set feature puja pandal sangram club kutchery road cross fence reach premise hinglaj bhawani located hingol national park balochistan northwest hit upon idea august balochistan featured independence day hinglaj bhawani one shaktipeethas goddess sati hindu low awareness among people pilgrim said ramesh kumar secretary bandhgari durga puja committee shunned political leader invited widow martyred soldier inaugurate wife stand firm behind men fight defend real hero true source ramesh president committee,LifeStyle,No,,
5,1778908,1/16/2017,96,0.025916,2017,https://timesofindia.indiatimes.com/city/hyderabad/ban-or-not-chinese-manja-widely-used-in-city/articleshow/56576972.cms,"HYDERABAD: Ignoring a court ban on the use of ‘Chinese manja‘, many residents freely used it across the city. The worst hit were birds, with at least 50 cases of injuries reported. While the cases on record were those of birds rescued, volunteers estimate that another 200 birds might have perished or their cases not reported at all during the Sankranti period. As per the court directive, selling, storing or use of Chinese and glass coated manja is banned across the country. Forest authorities and the anti-poaching squad nabbed over 150kg of Chinese manja from several areas in the city on Sankranti. Another 350kg of were seized from other districts. Forest and wildlife officials had to take the help of police to seize the manja from 30 to 35 sellers and to prevent a backlash. “We seized manja from areas across the city, although we found more in the Old City. It is still highly in demand and remains a profitable business,” said Manoranjan Bhanja, additional principal chief conservator of forest (PCCF). At least 100kg of manja were seized from areas such as Gulzar House, Charminar, Puranapul, Dhoolpet, Ramkote, Chappal Bazaar, Hussainialam, Musheerabad and Secunderabad. While forest authorities and the anti-poaching squad conducted checks, the manja menace is supposed to be dealt with under The Environment Protection Act. “It is the pollution control board that should be implementing the act and book offenders under the Act, but we are being proactive since the manja menace is harming birds and even people. But we are not actually authorised to book cases under the Act,” said Bhanja. Rachakonda police conducted raids on kite selling shops and booked seven cases under section 5 and 15 of the Environment Protection Act. ","['cattle', 'cow', 'animal', 'bull', 'slaughter', 'stray', 'meat', 'jallikattu', 'veterinary', 'owner']",Bovine,new unexpected slaughterhouse capital city ghazipur closed east delhi municipal corporation shop selling meat poultry product exempted lockdown announced central government contain novel municipal corporation reasoned closure public meat merchant association claimed authority consult decision shut abattoir per order issued deputy director veterinary service closure remain effect till order issued wednesday state ongoing step contain eliminate pandemic compliance guideline issued restrict proximity human decided close ghazipur slaughterhouse till order public clarifies animal rendering plant process animal carcass found remain operational scientifically dispose fallen ghazipur functional slaughterhouse complex capital process cattle single shift normal senior edmc official movement people animal facility plant cannot supply point keeping arshad delhi meat merchant association said claim animal supplied still animal left animal market near,WildLIfe & Planet,No,,
6,1936878,11/28/2017,70,0.08763,2017,https://timesofindia.indiatimes.com/tv/news/hindi/luv-binds-me-and-saurabh-together-zara-barring/articleshow/61826376.cms,"Actor Zara Barring, who will soon be tying the knot with actor Saurabh Pandey, is ecstatic about spending her life with the person she loves the most. Zara says that their relationship has had its share of upheavals and she is thrilled that they have finally made it. “I feel very blessed to be getting married to the man I love. It's definitely a very beautiful feeling. I feel ours has been a relationship that has been through its fair share of ups and downs. We passed many challenges along the way and took the time to fully know one another...And naturally, marriage would be the next step to take,” she says. The two will tie the knot on November 28. The engagement and mehendi ceremonies will take place on November 26 and 27, respectively.

Although they come from different religious backgrounds, Zara says that this has never made a difference in their relationship, and never will. “Religion, to me, comes secondary. I believe what matters more are the core values a person has been raised with. Once two people are in love...who cares about religion?” she says, adding, “Love is obviously the glue that binds us together...if we weren't in love we would not have made it this far. It's very important to show your significant other that you value them through your actions and I think Saurabh and I do that quite a bit. I see us leading a happy, blissful, and beautiful life together... working hard and traveling the world.”

As for her family, they too love Saurabh. “Saurabh is absolutely adored by entire family but I feel he is closest to my father. They share a very strong bond of love and mutual respect and it's heartwarming to see that,” she says.

Meanwhile, since both Zara and Saurabh are a part of the same industry, Zara says that this makes it easier for them to understand each other’s work. “We both understand the late nights and early mornings and everything else that comes with the job,” she says.

Ask her if she is experiencing any marriage jitters, and she says, “Oh yes! definitely but Saurabh's family has taken me in so warmly that it doesn't even feel like I'm actually taking the plunge. I'm very lucky to have such loving and understanding in-laws.”

The couple is yet to finalise its honeymoon plans. “We are so caught up with the wedding planning we haven't had time to zero in on a honeymoon destination yet!”

And, who is her ideal couple, who she looks up to for marriage advise? “I always look at my parents for inspiration. And they're definitely the ideal couple for me. They have stuck together through thick and thin. My mother has taught me that life don't always be a bed of roses but love and respect for one another will definitely make the journey more pleasurable...always respect one another...that is the key!” she says.

","['art', 'artist', 'painting', 'exhibition', 'gallery', 'work', 'photography', 'contemporary', 'artwork', 'paint']",Art,abuzz art exhibition preview recently held art lover seen checking work deshmukh art aficionado like silloo naozar daruwala others spotted time replete wine,LifeStyle,No,,
7,1312587,6/27/2014,13,0.535602,2014,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/mohanlals-superhit-dialogue-po-mone-dinesha-becomes-a-hot-song/articleshow/37258398.cms,"It is more than a decade since the Mohanlal-starrer Narasimham became a superhit and its evergreen dialogue ‘Ni Po Mone Dinesha’ went viral. After 14 years, the one-liner is making a re-appearance through another Mohanlal movie, Peruchazhi. Just that this time, it is a song featuring its hot heroine Poonam Bajwa.
 
 The actress recently uploaded a picture of the song sequence on her online page, which shows Poonam and party shimmying away in Arabic belly dancing costumes. “On the set of upcoming movie Peruchazhi – 
‘Po Mone Dinesha’ song,” Poonam wrote.
 
 Meanwhile
, Peruchazhi recently become the first Malayalam film that is shot in the globally renowned Universal Studio in the US. The movie also has Hollywood actor Sean James Sutton doing an important role in it.
 
 Mukesh, Ragini Nandwani, Pooja Kumar, Aju Varghese, Vijay Babu and Sandra Thomas are also part of the film, which has Mohanlal acting as a politician. It was also recently announced that Peruchazhi will be remade into Tamil. 

 
","['film', 'actor', 'director', 'movie', 'shooting', 'play', 'role', 'release', 'filmmaker', 'actress']",Entertainment,new film star wife twinkle intend rough mountain akshay kumar found another paradise impressed jammu intends return trekking holiday wife intends explore remote area jammu whether write motorcycle diary akshay maybe articulate wife akshay certainly kicked idea exploring jammu soon new film brainwave came akshay last week shooting song action returned jammu five nothing stunned natural unspoilt beauty jammu turned concrete soothing sometimes away say actor especially impressed hinterland endless stretch mountain valley waiting way two travel pitch tent anywhere fun recognised accosted akshay term pitching tent promotion khatta meetha common man taught deal last week nagpur least people open anyone grab people fine long one behave like star yeah fine traveling,Entertainment,Yes,,
8,2314535,12/23/2019,47,0.67296,2019,https://timesofindia.indiatimes.com/city/delhi/brought-new-dawn-for-40-lakh-people-pm/articleshow/72930354.cms,"NEW DELHI: Prime Minister Narendra Modi on Sunday said that the residents of unauthorised colonies would no longer have to live under the constant fear of their houses being sealed or razed by bulldozers with both Houses of Parliament now passing the Bill to regularise such settlements. Addressing a rally at Ramlila Maidan, where thousands gathered to “thank Modi” for regularising unauthorised colonies and conferring property ownership rights to the people, the PM, without naming the ruling AAP, said the Centre decided to take the task in its hands when more time was sought to complete the process. “They (Delhi government) did not show the right intentions and were shamelessly demanding time till 2021 for regularisation. So, we took this job in our hands in March and, by November this year, we got a Bill on unauthorised colonies passed from both Houses of Parliament,” he said, even as pro-Modi and pro-BJP slogans hung in the air. With Delhi assembly elections due early next year, BJP has made regularisation of unauthorised colonies its main poll plank as it attempts to return to power after 21 years. Sunday’s rally was organised by Delhi BJP to express “gratitude” to the Modi-led Central government on the issue. Blaming the rival parties for delaying the regularisation process, Modi said he felt satisfied that BJP could bring a “new dawn” in the lives of over 40 lakh people. “Under PM-UDAY (Prime Minister Unauthorised Colonies in Delhi Awas Adhikar Yojana), you are getting the ownership rights of your houses and land — your biggest assets. Those who have deprived people of Delhi of their rights should come and see the faces of the people sitting here at Ramlila Maidan,” Modi said, adding that the regularisation of these colonies would give an impetus to trade and business in the city. Without naming Congress, Modi said its government was busy allotting “2,000 bungalows to industrialist friends in most posh areas (Lutyens’) when residents of unauthorised colonies were demanding removal of illegal tag”. He added: “We got the 2,000 bungalows vacated and gave ownership rights to 40 lakh people. For me, you are the VIP.” The PM blamed AAP government for delaying Delhi Metro’s expansion under Phase-IV and said the work would have been started much earlier had it not created “political hurdles”. He also blamed Congress for the “sluggish” pace of work, saying the expansion under BJP government was taking place at 25km per year compared with 14km a year under the previous regimes. He alleged that public transport had deteriorated and people were being inconvenienced during AAP’s regime. Modi claimed that by putting peripheral highways on the fast track, the Centre had stopped nearly 40,000 trucks from entering Delhi daily and, thus, curbed pollution. “In five years, several CNG stations have been opened, industries converted into PNG and stubble burning reduced,” he said. The PM urged people to carry out a cleanliness drive in their areas to usher in the new year and weed out single-use plastic. Before Modi started his address, he was given a “thank you” note signed by 11,000 people from unauthorised colonies. Delhi BJP chief Manoj Tiwari called Modi a ‘messiah’ of the poor, who never went back on his promises. Rally organiser and senior BJP leader Vijay Goel said people sat through the PM’s speech despite such the chilly weather because they believed that only BJP could deliver on the promises it made. ","['congress', 'rahul', 'gandhi', 'modi', 'party', 'sonia', 'leader', 'bjp', 'prime', 'minister']",Politics,congress rahul gandhi monday received death letter threatening blow rahul gandhi piece received residence former union minister narayanasamy rahul scheduled visit enclave karaikal tuesday address public rally ahead assembly unsigned letter claimed load men worker affected,Politics,Yes,,
9,1144741,7/26/2013,58,0.801837,2013,https://timesofindia.indiatimes.com/city/chennai/with-shruthi-in-their-prayers-parents-try-to-move-on-in-life/articleshow/21348963.cms,"CHENNAI: When seven-year-old Shruthi Sethumadhavan died after falling through a hole in the floor of her school bus near Selaiyur on July 25, 2012, a family was shattered. Her parents are now trying to piece together their broken life and move on. Shruthi’s mother Priya, who had surgical sterilization after the birth of Shruthi, recently had a reversal surgery in the hope of getting another child. Priya, who underwent the surgery in Kerala, said nobody could replace Shruthi, but they want to have a child to comfort her elder son Pranav. “He misses the closeness he had with his sister, the fun and the fights they had. We are hopeful that God would bless us with another child,” Priya said, fighting back tears.  Priya has been treasuring Shruthi’s dresses and the little items of makeup that the child liked to use when she had to go to a function. Priya was expecting Shruthi to return home when she was informed that the Class 2 student of Zion Matriculation Higher Secondary School in Indira Nagar was crushed under the wheels of the bus, less than 100 feet from the spot where she was waiting for the child.  On Thursday, Shruthi’s first death anniversary, her parents R Sethumadhavan and Priya cooked sweet pongal and vegetable rice. “She was fond of that,” said Priya. “She insisted I cook vegetable rice and Pongal for her lunch to school most of the time. We are heartbroken that our time with her was so brief.”  A couple of weeks ago, the couple visited their native place, Ottapalam in Kerala, and offered prayers for Shruthi. “The loss of a child is the most painful loss for a human being,” said Sethumadhavan. “Shruthi was always an active child, good at dancing and drawing,” her mother said. “Teachers told us that she was the most spirited child in her class and would readily agree to participate in any competition.”  Priya spoke carefully, because she did not want Pranav to hear her talk about Shruthi’s accident. “He becomes very emotional when someone talks about his sister,” she said.  When officials of Shruthi’s school offered her parents compensation, they turned it down. “Loss of a life cannot be compensated with money,” Priya said. ","['tata', 'car', 'company', 'sale', 'unit', 'steel', 'motor', 'market', 'vehicle', 'maruti']",Automobile,new japanese auto major honda announced thursday initiating one biggest car recall india nearly unit city sedan called back replacement faulty component part global carry preventive part replacement motion valve train unit generation manufactured november december company statement second recall city honda january last year recalled sedan replace defective power window switch cause india recall part global exercise company call back vehicle worldwide due faulty engine motion compressed rocker arm normal engine bend break time resulting abnormal engine noise potentially causing engine stalling problem company adding replacement carried free company communicate directly car owner covered part dealership updated replacement new part dispatched dealership phase smooth city model india affected recall involves model jazz freed compact minivan sold north latin middle east global recall impact honda jazz sold statement move come time company across globe announced call back various led toyota faced major embarrassment market accelerator problem suspected cause several fatal honda announced big recall last big car recall generally seen sign responsible popular company feel recall hit brand indian company usually open especially absence government policy honda car maker called back vehicle maruti skoda honda recalled accord,Accidents,No,,
