,id,date,topic_id,topic_prob,year,url,article,top_terms,MainTopic,rep_docs,HumnJudgement,Correct,,
0,1276699,4/16/2014,91,0.650691,2014,https://timesofindia.indiatimes.com/sports/new-zealand-in-india-2016/top-stories/kotla-curator-sundaram-leaves-ddca-in-a-tizzy/articleshow/33792694.cms,"NEW DELHI: Delhi &amp; District Cricket Association (DDCA) curator Venkat Sundaram has refused to take charge of the Ferozeshah Kotla pitches for the IPL 7 matches to be played next month.  Sundaram's decision has left the DDCA in a fix as they need to identify by Wednesday the man who will take charge of the pitches and the ground during the IPL. Sundaram, who was the BCCI's chief curator till 2012 and was roped in when Kotla was banned for a year in 2010, was reportedly unhappy with DDCA for bowing to Delhi skipper Gautam Gambhir's demands and his alleged interference in the preparation of the pitches.  Sundaram had distanced himself from the Kotla during Delhi's last Ranji Trophy match in December last and DDCA vice-president Chetan Chauhan has been looking after the ground since then. ""The way the ground has been misused by DDCA isn't acceptable. They have let senior players dictate terms. Even now, with the IPL around the corner, they are playing league matches there. I can't work with such an association where there is too much interference from all quarters,"" Sundaram told TOI on Tuesday.  ""We have asked him to rethink. But he has finally said no. We will appoint someone by Wednesday. We are trying all options within the DDCA,"" Chauhan, who is reluctant to take up full-time responsibility, said. ""I was only looking after the ground. I can't get into pitch-making,"" he added.  Ankit Datta, who has been assisting Sundaram at the Kotla for the last few years, is said to the most likely replacement for Sundaram. Ankit, in his late 20s, has passed all BCCI exams to become a qualified curator and has impressed senior people in BCCI. But he too has his issues with the DDCA.  ""Ankit has been really impressive and has learnt very quickly. He is good enough to take charge. But the DDCA hasn't paid him well. He doesn't know what he is supposed to get. This is DDCA's internal problem. Let them deal with it. If needed we'll have a word with them,"" said a BCCI official.  Sources in DDCA said Sundaram wasn't paid for his work. ","['cricket', 'pakistan', 'player', 'bcci', 'pcb', 'board', 'icc', 'series', 'team', 'match']",Sports,october andrew banned cricket south africa aligning rebel indian cricket signed contract english county side said monday join banned south african lance klusener johan van der english county said leave india play icl system problem caused series postponed month term fact never play south africa unhappy able play local team said,Sports,Yes,Correct,16
1,610760,1/9/2011,9,0.524199,2011,https://timesofindia.indiatimes.com/india/sc-raps-cbi-in-dara-singh-encounter-case/articleshow/7245127.cms," JAIPUR: Close on the heels of the Aarushi murder case in which the CBI was rapped by the judiciary for its shoddy investigation, the agency was once again caught on the wrong foot when the Supreme Court came down heavily on it for its failure to complete the Dara Singh fake encounter case in Rajasthan. Taking a serious note of the non-compliance of its previous order to conduct an inquiry into the Dara Singh case, a division bench comprising Justice Markandey Katju and Justice Gyan Sudha Mishra observed on Friday: “It is deeply disappointing that the CBI has not yet completed the investigation despite the order of this court dated April 9, 2010.” The court further said: “On the request of the learned counsel for CBI, we grant two months’ further time to complete the investigation, failing which a serious view will be taken by this court about the functioning of the CBI.” The court then asked CBI to file a status report by March 8, 2011. “Justice Katju made an open remark that the CBI officials need to be whipped to get the investigation done and this being the disappointing situation they must all resign and join some other service. Justice Mishra also objected to the CBI asking for more time to investigate a fake encounter which took place in 2006 and asked the IO whether he can assure his resignation in case the investigation is not completed in the two months more time as being prayed,” said S K Sinha, counsel for Sushila Devi, widow of Dara Singh, talking to TOI.  As per the case, Dara Singh was a wanted man carrying a reward of Rs 25,000 and was killed during an encounter with police at Mansarovar area in Jaipur. After his death, his widow Sushila approached the police and even filed a complaint but now FIR was registered. It was only after SC’s intervention that the investigation was sent to CBI and an FIR was registered in April, 2010. The Supreme Court has recently asked the CBI to file a status report regarding the progress of investigation but instead of filing the report, the CBI requested the court to drop the proceedings initiated by Sushila Devi. ","['court', 'justice', 'bench', 'judge', 'high', 'petition', 'supreme', 'advocate', 'order', 'filed']",Judiciery,madras high court transferred hearing criminal contempt suo motu initiated single judge officer senthamarai kannan allegedly filing bogus expert opinion division case civil matter decided judge pass order said violated judge alone better position appreciate fact criminal contempt proceeding dealt division division bench justice kirubakaran velmurugan court passed order allowing appeal moved member secretary tamil nadu uniformed service recruitment board court directed registry forward case file acting chief justice posting matter appropriate issue pertains plea moved challenging correctness question asked written exam recruitment post,Judiciery,Yes,Incorrect,4
2,1167610,9/10/2013,9,0.814935,2013,https://timesofindia.indiatimes.com/city/delhi/12-noida-developers-get-national-green-tribunal-notice/articleshow/22445563.cms," NOIDA: The National Green Tribunal on Monday granted two weeks to a dozen real estate developers in Noida to reply upon allegations that they have been extracting groundwater during construction activities despite a ban imposed on it. The NGT had issued showcause notices to these developers following the findings of a court-appointed committee that groundwater continues to be extracted in Noida and Greater Noida despite the ban imposed since January. On Monday, NGT also issued a bailable warrant against one developer, from among the 12 issued notices, for failing to appear in court despite a notice. ","['court', 'justice', 'bench', 'judge', 'high', 'petition', 'supreme', 'advocate', 'order', 'filed']",Judiciery,madras high court transferred hearing criminal contempt suo motu initiated single judge officer senthamarai kannan allegedly filing bogus expert opinion division case civil matter decided judge pass order said violated judge alone better position appreciate fact criminal contempt proceeding dealt division division bench justice kirubakaran velmurugan court passed order allowing appeal moved member secretary tamil nadu uniformed service recruitment board court directed registry forward case file acting chief justice posting matter appropriate issue pertains plea moved challenging correctness question asked written exam recruitment post,Judiciery,Yes,,
3,2152114,2/1/2019,5,0.173657,2019,https://timesofindia.indiatimes.com/citizen-reporter/stories/encroachmentoffootpath/articleshow/67782599.cms,,"['driver', 'accident', 'car', 'bus', 'truck', 'injured', 'hit', 'died', 'police', 'rammed']",TrafficAccidents,kolhapur municipal transport heading towards met accident wednesday nine people including driver injured casualty mishap took place driver bus tried save motorcyclist coming opposite order avoid bus entered open field near shiye phata kasaba injured immediately shifted chhatrapati pramila raje civil hospital kmt official bus started krantisinha nana patil nagar bus stop crossing kasaba bawada area bus heading towards pethvadgaon accident took police official cpr hospital bus arrived shiye phata suddenly motorcycle approached opposite order save bus driver turned towards sudden turn jolted driver lost control bus entered sugarcane driver however managed stop bus travelling around meter main wednesday seven patient two still admitted hospital,NA,No,Accuracy,80%
4,1986923,3/8/2018,3,0.315099,2018,https://timesofindia.indiatimes.com/city/pune/hinjewadi-shivajinagar-metro-gets-centre-funds/articleshow/63209026.cms,"PUNE: The Centre on Wednesday approved the Hinjewadi-Shivajinagar Metro corridor on public private partnership basis and sanctioned Rs1,300 crore as a part of the viability gap funding. The 23.3-km-long Hinjewadi-Shivajinagar stretch would be the third Metro corridor in the city and is expected to cost Rs8,313 crore. The state government had approved the proposal for the Metro stretch in the first week of January. According to the Centre’s new Metro policy, the project was awaiting the Centre’s 20% viability-gap funding of Rs1,300 crore. The state is supposed to generate Rs812 crore. The delay in allocation had raised questions about the viability of the model. Finally, the central government’s finance department cleared funds for the project. “The central government’s approval and fund allocation has put the project on track and we should finalize the tendering process and decide the bidder for the project in the coming two months and sign the agreement thereafter,” said Pune Metropolitan Region Development Authority (PMRDA) commissioner Kiran Gitte, who was in Delhi for the meeting with the finance department. The successful bidder will have to bring in 60% funding for the project — 30% in equity and 70% in debt. The central government had raised several queries regarding the PPP model, which had even forced PMRDA to keep a backup option and funds ready at the state level through land monetization. Gitte said with the central government sanctioning funds, things would be on track and all approvals will be speeded up. The work on Hinjewadi-Shivajinagar stretch is expected to be carried out in phases. The first phase, between Hinjewadi and Balewadi, will be completed by April 2019 and the second phase, between Balewadi and Shivajinagar, will be completed by 2021. PMRDA has shortlisted three companies — Tata Realty Siemens, IRB in consortium with Chinese and Malaysian companies and ILFS — who could bid for the project. With the clearance from the central government, the bid should take place by June. All the stations will be equipped with the latest technology, amenities and state-of-the-art infrastructure. The entire Metro stretch is expected to be monitored by automated technologies. According to the plan, Metro will ply through Hinjewadi, Wakad, Balewadi, Pune University and Shivajinagar. At Shivajinagar junction, it will align with the other two Metro corridors. ","['railway', 'train', 'passenger', 'station', 'metro', 'rail', 'express', 'ticket', 'coach', 'track']",Railways,day technical snag disrupted service western railway central railway harbour commuter tough time friday signal cable burst morning rush five service cancelled several train ran behind schedule following incident near reay road incident triggered panic among jumped onto track seeing official said signal cable burst local pulled reay started emanating spot entered one coach motorman guard initially thought smoke coming motor train detained spot minute said cable lay close cascading couple train held behind rake five service anant panic compartment smoke alarm went passenger jumped onto sunil harbour commuter took almost hour reach cst usual situation returned normal said local checked allowed resume official said rake sent car shed pressed back service thorough check revealed nothing wrong confirmed smoke caused signal cable cause incident incident affect functioning signal alternative supply provided another official panic among commuter sound atop local preceded attribute case ageing infrastructure system still run direct current commuter authority pay importance harbour,Railways,Yes,,
5,1242583,41677,11,0.116333,2014,https://timesofindia.indiatimes.com/tv/news/hindi/no-takers-for-salman-khans-new-show/articleshow/29943730.cms,"Bollywood superstar Salman Khan, who was supposed to do a reality show on social causes, is not finding any takers. If reports are to be believed, channel Colors that airs 'Bigg Boss' had initially approached Salman to telecast his show. However, they are not keen any more.
 
 
ALSO READ: Not chaiwallah, it’s Sallu barber now
 
 An 
India Today report says the tentative name of the show is 
Paanch Ka Punch that will see Salman in both a funny as well as a serious avatar. The show promises to be entertaining and will give a social message. Further to reports in India Today, Salman had also given his nod, which led to Siddharth Basu's production house approaching the channel.
 
 Initially they accepted, but now reports say that the channel has refused as they feel that Salman hosting another show on the same channel will be an overdose for the audience and will kill the entertainment.
 
 
ALSO READ: Salman Khan, Varun, Harbhajan to turn a comman man
 
 The show is said to bring together popular celebrities like Karan Johar, Harbhajan Singh, Mika and actor Varun Dhawan together, living a life of common man.
 
 ALSO WATCH: Salman Khan's new TV show
 
 
 
","['film', 'theatre', 'movie', 'actor', 'play', 'character', 'bollywood', 'like', 'cinema', 'show']",Entertainment,maker gujarati film sawaal question approached film certification appellate tribunal central board film certification denied certificate rajesh director gujarati said approached fcat july cbfc denied fight film freedom hope justice gohil june suggested cut questioned motive choosing emotive raised concern resemblance patel quota activist hardik pahlaj board denied certificate film stating film prove threat national security said cbfc suggested cut included removal word every board said content asked remove reference said edited film way cbfc wanted length film reduced minute current injustice gujarati film board hurt gohil,Entertainment,Yes,,
6,597307,12/11/2010,11,0.512979,2010,https://timesofindia.indiatimes.com/city/bengaluru/get-a-chance-to-act-do-it-says-arundhati/articleshow/7079723.cms," BANGALORE: Arundhati Nag went down memory lane in her lecture, which was part of the Karnataka Rajyotsava Extension Lecture organized by the Institute For Social And Economic Change. She spoke of her first stage venture at 16 in Mumbai. After hearing about the Indian People's Theatre Association through a friend, she decided to attend the auditions. She was selected to act in her first play by Kaifi Azmi. From that momement on, theatre became part of her life. ""After birth, theatre is the best accident of my life and I've not regretted it even for a moment,"" Arundhati said. She spoke of her late husband actor Shankar Nag and his dream of laying a firm foundation for theatre in Karnataka. ""This dream has come true in Rangashankara. Unfortunately, it came after his untimely demise. Girish Karnad, Kaifi Azmi and so many others supported me in this dream and I thank everybody."" ""If you get a chance to act in a play, do it. People should watch more theatre. It gives a person more knowledge about herself than any other way. Rangashankara, I can say with confidence, is the most affordable theatre in the world and is a great stress reliever in this busy city. We also plan to collaborate with Sarva Shiksha Abhiyan to bring government school children to participate in theatre,"" Nag said. ","['film', 'theatre', 'movie', 'actor', 'play', 'character', 'bollywood', 'like', 'cinema', 'show']",Entertainment,maker gujarati film sawaal question approached film certification appellate tribunal central board film certification denied certificate rajesh director gujarati said approached fcat july cbfc denied fight film freedom hope justice gohil june suggested cut questioned motive choosing emotive raised concern resemblance patel quota activist hardik pahlaj board denied certificate film stating film prove threat national security said cbfc suggested cut included removal word every board said content asked remove reference said edited film way cbfc wanted length film reduced minute current injustice gujarati film board hurt gohil,Entertainment,Yes,,
7,1752623,11/23/2016,2,0.999999,2016,https://timesofindia.indiatimes.com/city/pune/bjp-ready-for-alliance-with-sena-says-gogawale/articleshow/55569823.cms,"PUNE: Bharatiya Janata Party city unit chief Yogesh Gogawale on Tuesday said his party has already shown willingness to contest Pune Municipal Corporation polls along with the Shiv Sena, but the BJP has not received any communication from the Sena in this regard. “It is now up to the Sena to take a call on forming an alliance,” Gogawale said while addressing a news conference here. Political experts said that BJP workers were ready to go solo in the forthcoming civic elections as they were confident of winning the elections on their own. Gogawale said the party has begun preparations for the elections. “We are readying a manifesto for the city which will be released in the second week of December. Plans are afoot to bring out a manifesto for every panel. The focus will be on local issues,” he said. Gogawale said a training session was conducted recently for party workers and poll aspirants. About 200 participants attended the workshop and were trained on how to give speeches and express views. Party workers are also discussing with citizens the issues they are facing. Sena for solo fight Shiv Sena’s city unit chief Vinayak Nimhan has said that there was no plan of forming an alliance with the BJP. “The Sena will fight the civic elections on its own and there is no proposal to discuss the alliance plan,” Nimhan added. He said the “Modi waive” has lost its charm. People have lost faith in the BJP-led government at the Centre and the state. The BJP government initially got backing from the people on the steps it took against black money, but the situation changed after the it failed to handle the long queues outside banks and ATM centres. ","['bjp', 'party', 'candidate', 'congress', 'leader', 'seat', 'election', 'assembly', 'sena', 'sabha']",Politics,shiv sena chief uddhav thackeray friday said bjp riding popularity sena last year spite performance charisma enjoyed position power firing fussilade thackeray suggested bjp ungrateful exploited support sena corner key position power otherwise dream contested poll sena came power took city chair deputy mayor shared bjp ever got anything thane last thackeary called bjp party liar pointing promise chief minister devendra fadnavis poll municipal corporation last uddhav demanded delivered promise gift crore kdmc infrastructure development raised issue bordering kdmc promised exclude kdmc jurisdiction special planning body overall added promise made central government demonitisation affected demonetization common man suffered questioned chief remark towards corruption allegation tmc pointing towards closeness chief minister civic commissioner call late show appoints civic chief every said uddhav drew attention administration towards violation poll code,Politics,Yes,,
8,1800756,2/28/2017,2,0.730447,2017,https://timesofindia.indiatimes.com/city/pune/cong-divided-on-alliance-with-ncp-in-local-bodies/articleshow/57381250.cms,"PUNE: A section of the Congress, led by former chief minister Prithviraj Chavan, on Monday strongly objected to the party’s decision to join hands with the NCP in local governing bodies to get majority and stressed it was high time to snap ties with Sharad Pawar’s outfit. A source in the Congress said Chavan had communicated his unhappiness to the party high command. According to the source, he told the party top brass that the NCP was playing the role of the BJP’s ‘B’ team and the Congress must not join hands with it. The leaders against the tie-up stressed the party should instead strengthen its own base to avoid further dip in its political fortunes. The Congress and NCP decided to join hands in panchayats and zilla parishads following a meeting between NCP chief Sharad Pawar and state Congress president Ashok Chavan on Sunday. The Maharashtra Pradesh Congress Committee (MPCC) president Ashok Chavan said the party had accepted the NCP’s proposal that both the parties should join hands in zilla parishads and panchayats to keep the Sena-BJP out of power. Pawar and Chavan met in Nanded to discuss the political situation following the local governing bodies’ polls in the state. “In every district, the party having more numbers will have its president in zilla parishad and panchayat. The other party will get the deputy’s post. We have agreed on the formula,” he told reporters in Nanded. Rane certain Sena will not come out of govt Former chief minister and Congress leader Naraya Rane said the Shiv Sena would not withdraw its support from the BJP-led state government. “ It is my opinion and I have been saying this for a long. Sena will not step out of the government on its own unless it is kicked out by the BJP,” said Rane. He said even if opposition parties move a no-confidence motion against the Fadnavis government, it would not be possible to pull it down. “ We shall need the Shiv Sena on our side to defeat the government and I don’t think Sena wants it to happen,” said Rane told reporters in Pune. ","['bjp', 'party', 'candidate', 'congress', 'leader', 'seat', 'election', 'assembly', 'sena', 'sabha']",Politics,shiv sena chief uddhav thackeray friday said bjp riding popularity sena last year spite performance charisma enjoyed position power firing fussilade thackeray suggested bjp ungrateful exploited support sena corner key position power otherwise dream contested poll sena came power took city chair deputy mayor shared bjp ever got anything thane last thackeary called bjp party liar pointing promise chief minister devendra fadnavis poll municipal corporation last uddhav demanded delivered promise gift crore kdmc infrastructure development raised issue bordering kdmc promised exclude kdmc jurisdiction special planning body overall added promise made central government demonitisation affected demonetization common man suffered questioned chief remark towards corruption allegation tmc pointing towards closeness chief minister civic commissioner call late show appoints civic chief every said uddhav drew attention administration towards violation poll code,Politics,Yes,,
9,1979877,43153,2,0.176914,2018,https://timesofindia.indiatimes.com/tv/news/telugu/no-state-across-the-country-shall-entertain-any-criminal-action-against-priya-varrier-says-supreme-court/articleshow/63015575.cms,"Tthough her ‘viral wink’ in the promo song of Malayalam movie Oru Adaar Love made Priya Prakash Varrier an overnight internet sensation, it also brought her trouble in the form of a handful of FIRs. Soon after the video went viral on social media, a case was registered at Falaknuma Police Station, Hyderabad, under Indian Penal Code’s Section 295A (deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs). the actress then approached the Supreme Court, seeking to quash the FIR lodged against her as well as the director and producer of the Oru Adaar Love. 

On Wednesday, the Supreme Court stayed all criminal proceedings against Priya Prakash Varrier and said that in future, no FIR can be lodged against Varrier in connection with the promotional song, Manikya Malaraya Poovi.
In her petition, the actress argued that “criminal complaints have been instituted by various fringe groups based on a distorted and incorrect interpretation of the song in the states of Telangana, Maharashtra and similar complaints are likely from other non- Malayalam speaking states as well.” 

The petition also contended that the “song is originally from an old folk song from Kerala which was written in 1978 by PMA Jabbar and was first sung by Thalassery Rafeeq, in the praise of the Prophet and his wife Beevi Khadija” and that “the claims that it hurts the religious sentiments are without any basis. The song is a Mappila Song, and therefore a part of the Muslim tradition in Kerala and does not offend any religious sentiment of any community or person,” she added. 

Keeping in mind that two more FIRs have been registered against the actress, one with Mumbai Police and another at Jinsi police station at Aurangabad, the three-judge Bench led by Chief Justice of India Dipak Misra ordered that no state across the country shall entertain any criminal action or complaints against Varrier or the film’s director and producer in connection with the song.


","['bjp', 'party', 'candidate', 'congress', 'leader', 'seat', 'election', 'assembly', 'sena', 'sabha']",Politics,shiv sena chief uddhav thackeray friday said bjp riding popularity sena last year spite performance charisma enjoyed position power firing fussilade thackeray suggested bjp ungrateful exploited support sena corner key position power otherwise dream contested poll sena came power took city chair deputy mayor shared bjp ever got anything thane last thackeary called bjp party liar pointing promise chief minister devendra fadnavis poll municipal corporation last uddhav demanded delivered promise gift crore kdmc infrastructure development raised issue bordering kdmc promised exclude kdmc jurisdiction special planning body overall added promise made central government demonitisation affected demonetization common man suffered questioned chief remark towards corruption allegation tmc pointing towards closeness chief minister civic commissioner call late show appoints civic chief every said uddhav drew attention administration towards violation poll code,Entertainment,No,,
